+-----------------------------------+-------+
|               name                | birth |
+-----------------------------------+-------+
| Carlos Gallardo                   | NULL  |
| Barry Papick                      | NULL  |
| Michael Man-Kin Chow              | NULL  |
| Will Wallace                      | NULL  |
| Gerry Robert Byrne                | NULL  |
| Nikhil Kamkolkar                  | NULL  |
| Hans Larson                       | NULL  |
| Abbas                             | NULL  |
| Alistair Abell                    | NULL  |
| Rey 'PJ' Abellana                 | NULL  |
| Guy Abgrall                       | NULL  |
| Tony Abou-Ganim                   | NULL  |
| James Acheson                     | NULL  |
| Lisa Acuna                        | NULL  |
| Martha Acuña                      | NULL  |
| Jack Adalist                      | NULL  |
| David Adams                       | NULL  |
| Nate Adams                        | NULL  |
| Ghadah Adel                       | NULL  |
| Stephen Adly Guirgis              | NULL  |
| Eric Affergan                     | NULL  |
| Rodney Afif                       | NULL  |
| Bayani Agbayani                   | NULL  |
| Yôko Aki                          | NULL  |
| Jordi Aguilar                     | NULL  |
| Charlie Ahearn                    | NULL  |
| Mehdi Ahmadi                      | NULL  |
| Latifah Ahrar                     | NULL  |
| Catherine Ai                      | NULL  |
| Liya Ai                           | NULL  |
| Adriana Aizemberg                 | NULL  |
| Champa                            | NULL  |
| Touria Alaoui                     | NULL  |
| Jennifer Albano                   | NULL  |
| Daniel Alcaíno                    | NULL  |
| Don Alder                         | NULL  |
| Amber Leigh Alderman              | NULL  |
| Lalu Alex                         | NULL  |
| Andrew Alexander                  | NULL  |
| Robert Alexander                  | NULL  |
| Francisco Alfaro                  | NULL  |
| Babar Ali                         | NULL  |
| Jacques Allard                    | NULL  |
| Peter Allas                       | NULL  |
| Danny Allen                       | NULL  |
| Peg Allen                         | NULL  |
| Achala Alles                      | NULL  |
| Frankie J. Allison                | NULL  |
| Wendy Allyn                       | NULL  |
| Jorge Almada                      | NULL  |
| Shadi Almassizadeh                | NULL  |
| Patricia Alonso                   | NULL  |
| Ramiro Alonso                     | NULL  |
| Peter Alton                       | NULL  |
| Sriyani Amarasena                 | NULL  |
| Linda Amendola                    | NULL  |
| Zahira Ben Ammar                  | NULL  |
| Raouf Ben Amor                    | NULL  |
| Ahn Suk-hwan                      | NULL  |
| Shoma Anand                       | NULL  |
| Ananth                            | NULL  |
| Noemi Anaya                       | NULL  |
| Simon Anderson                    | NULL  |
| Steve Anderson                    | NULL  |
| Michael André                     | NULL  |
| Jimena Anganuzzi                  | NULL  |
| Sharon Angela                     | NULL  |
| Irene Lilienheim Angelico         | NULL  |
| Anil                              | NULL  |
| Anjuman                           | NULL  |
| Annapoorna                        | NULL  |
| Jackson Anthony                   | NULL  |
| David Anzuelo                     | NULL  |
| Ryosuke Aoike                     | NULL  |
| Laura Aparicio                    | NULL  |
| Tracy Appleton                    | NULL  |
| Velvy Appleton                    | NULL  |
| Víctor Hugo Arana                 | NULL  |
| Michael Aronov                    | NULL  |
| Ramesh Aravind                    | NULL  |
| Robert Arce                       | NULL  |
| Irene Arcila                      | NULL  |
| Jacqueline Arenal                 | NULL  |
| Fernando Arévalo                  | NULL  |
| Grace Ariyawimal                  | NULL  |
| Nicole Arlyn                      | NULL  |
| Carrie Armstrong                  | NULL  |
| John Armstrong                    | NULL  |
| Laurent Arnal                     | NULL  |
| Marcello Arnone                   | NULL  |
| Cristina Arocca                   | NULL  |
| Ken Arquelio                      | NULL  |
| Luis Arriaga                      | NULL  |
| Sulabha Arya                      | NULL  |
| Daisuke Asakura                   | NULL  |
| Bobbi Ashton                      | NULL  |
| Heather Ashton                    | NULL  |
| Stephanie Astalos-Jones           | NULL  |
| Fabio Aste                        | NULL  |
| John Aston                        | NULL  |
| Anatoli Athanasiadou              | NULL  |
| Dimitris Athanitis                | NULL  |
| Robert Atiko                      | NULL  |
| Takuro Atsuki                     | NULL  |
| Man Sze Au                        | NULL  |
| Christophe Auboin                 | NULL  |
| Alexandre Aubry                   | NULL  |
| Anne Céline Auche                 | NULL  |
| Michèle Audette                   | NULL  |
| Augustine                         | NULL  |
| Romulo Augusto                    | NULL  |
| Ann Ault                          | NULL  |
| Marta Aura                        | NULL  |
| Lucinda Clare                     | NULL  |
| Robin Avery                       | NULL  |
| Eric Aviles                       | NULL  |
| Avinash                           | NULL  |
| Ayako Kawahara                    | NULL  |
| Corina Katt Ayala                 | NULL  |
| Turgay Aydin                      | NULL  |
| Leonard Babakhanov                | NULL  |
| Babu Mohan                        | NULL  |
| César Badillo                     | NULL  |
| Jean Badin                        | NULL  |
| Raymond Bagatsing                 | NULL  |
| Lissa Baggaley                    | NULL  |
| Man Bai                           | NULL  |
| Sabine Bail                       | NULL  |
| Robert Bailey Jr.                 | NULL  |
| Max Baker                         | NULL  |
| Shaun Baker                       | NULL  |
| Quenby Bakke                      | NULL  |
| Arun Bakshi                       | NULL  |
| Jeffrey Edward Baksinski          | NULL  |
| Vinod Bala                        | NULL  |
| Frederick Bald                    | NULL  |
| Scott Baldyga                     | NULL  |
| Vincent Balestri                  | NULL  |
| Abby Ball                         | NULL  |
| Reginald Ballard                  | NULL  |
| Ninja Man                         | NULL  |
| Ángeles Balvanera                 | NULL  |
| Banerjee                          | NULL  |
| Arun Bannerjee                    | NULL  |
| Uttara Baokar                     | NULL  |
| Avraham Bar-Orion                 | NULL  |
| Babette Barat                     | NULL  |
| Márcia Barbosa                    | NULL  |
| Niels Barfoed                     | NULL  |
| Pete Barker                       | NULL  |
| C.J. Barkus                       | NULL  |
| Jimbo Barnett                     | NULL  |
| Ysaye M. Barnwell                 | NULL  |
| Biagio Barone                     | NULL  |
| Pilar Barrera                     | NULL  |
| Claudia Barroso                   | NULL  |
| Boris Barsky                      | NULL  |
| Jamie Bartlett                    | NULL  |
| Antoine Basler                    | NULL  |
| Anne Baudoux                      | NULL  |
| Kurt Bauman                       | NULL  |
| Heinz Baumüller                   | NULL  |
| Jack Baxter                       | NULL  |
| Paul Bay                          | NULL  |
| Katrina Baylis                    | NULL  |
| Matia Bazar                       | NULL  |
| Jeff Bearden                      | NULL  |
| Maria Beatty                      | NULL  |
| André-Line Beauparlant            | NULL  |
| Marc Beaupré                      | NULL  |
| Belinda Becker                    | NULL  |
| Robert E. Beckwith                | NULL  |
| Rajat Bedi                        | NULL  |
| Bego                              | NULL  |
| Ravi Behl                         | NULL  |
| Jenny Bel'Air                     | NULL  |
| Garth Belcon                      | NULL  |
| Fatima Belhadj                    | NULL  |
| Joselo Bella                      | NULL  |
| Châu Belle Dinh                   | NULL  |
| Williams Belle                    | NULL  |
| Alain Benatar                     | NULL  |
| Rick Benattar                     | NULL  |
| Arturo Bences                     | NULL  |
| Medea Benjamin                    | NULL  |
| Benny Benowitz                    | NULL  |
| Roy Benson                        | NULL  |
| Gina Lola Benzina                 | NULL  |
| Michael Berenbaum                 | NULL  |
| Thérèse Berger                    | NULL  |
| Michael Bernosky                  | NULL  |
| Catherine Berriane                | NULL  |
| Stephanie Berry                   | NULL  |
| Anthony Beselle                   | NULL  |
| Jessica Beshir                    | NULL  |
| Roberto Bestazzoni                | NULL  |
| Nicole Betancourt                 | NULL  |
| Frida Betrani                     | NULL  |
| Paul Betts                        | NULL  |
| Ashima Bhalla                     | NULL  |
| Bhanuchander                      | NULL  |
| Paul Bianco                       | NULL  |
| Ed Baccari                        | NULL  |
| Jacques Bidou                     | NULL  |
| Claus Bie                         | NULL  |
| Barrington Bignall                | NULL  |
| Kristina Bill                     | NULL  |
| Shelita Birchett                  | NULL  |
| Litza Bixler                      | NULL  |
| Aaron Blabey                      | NULL  |
| Laura Black                       | NULL  |
| Leon Black                        | NULL  |
| Marina Black                      | NULL  |
| Diane Bliss                       | NULL  |
| Stan Bly                          | NULL  |
| Crystal Bock                      | NULL  |
| Rafael Bohórquez                  | NULL  |
| Louise Boisvert                   | NULL  |
| Steffan Boje                      | NULL  |
| Ian Bok                           | NULL  |
| Sam Bologna                       | NULL  |
| Tae-gyu Bong                      | NULL  |
| Shawn Bordoff                     | NULL  |
| Sergio Boris                      | NULL  |
| David Borowicz                    | NULL  |
| Les Borsay                        | NULL  |
| Thierry Bosc                      | NULL  |
| Mike Boss                         | NULL  |
| Jenny Botsi                       | NULL  |
| Jean-Pierre Bouchard              | NULL  |
| Mary Boucher                      | NULL  |
| Strawn Bovee                      | NULL  |
| Jacqueline Bowman                 | NULL  |
| William Boyer                     | NULL  |
| Alexandra Boyd                    | NULL  |
| Bob Boyd                          | NULL  |
| Todd Boyd                         | NULL  |
| Lauren Reneé Boyer                | NULL  |
| Matthew Boylan                    | NULL  |
| Silvo Bozic                       | NULL  |
| Charles Braden                    | NULL  |
